"id","link","is_used"
"2637","https://www.amazon.de/Innotech-Instruments-neurologischer-Reflexhammer-Oberfl%C3%A4chenreaktionen/dp/B0B46NG94B/ref=pd_sbs_sccl_2_1/262-4336584-4094515?pd_rd_w=Cpum0&content-id=amzn1.sym.6c0521be-6c2b-450c-bb72-af8082730381&pf_rd_p=6c0521be-6c2b-450c-bb72-af8082730381&pf_rd_r=4GPDVS9FQ9P17YF20RKM&pd_rd_wg=Bw3Y1&pd_rd_r=364969cc-834e-47e5-bfba-83e78ec7b969&pd_rd_i=B0B46NG94B&psc=1","1"
"2638","https://www.amazon.de/Innotech-Instruments-neurologischer-Reflexhammer-Schwarz/dp/B097TVRXLC/ref=pd_sbs_sccl_2_2/262-4336584-4094515?pd_rd_w=Cpum0&content-id=amzn1.sym.6c0521be-6c2b-450c-bb72-af8082730381&pf_rd_p=6c0521be-6c2b-450c-bb72-af8082730381&pf_rd_r=4GPDVS9FQ9P17YF20RKM&pd_rd_wg=Bw3Y1&pd_rd_r=364969cc-834e-47e5-bfba-83e78ec7b969&pd_rd_i=B097TVRXLC&psc=1","1"
"2639","https://www.amazon.de/neurologischer-Reflexhammer-eingebautem-Hautreflexe-Oberfl%C3%A4chenreaktionen/dp/B00375NKT8/ref=pd_sbs_sccl_2_3/262-4336584-4094515?pd_rd_w=Cpum0&content-id=amzn1.sym.6c0521be-6c2b-450c-bb72-af8082730381&pf_rd_p=6c0521be-6c2b-450c-bb72-af8082730381&pf_rd_r=4GPDVS9FQ9P17YF20RKM&pd_rd_wg=Bw3Y1&pd_rd_r=364969cc-834e-47e5-bfba-83e78ec7b969&pd_rd_i=B00375NKT8&psc=1","1"
"2640","https://www.amazon.de/sspa/click?ie=UTF8&spc=MTo2NDQ2ODc1MTY0MzY1Njc0OjE2OTkyNDkyMTc6c3BfZGV0YWlsMjoyMDAyMTM4NzIyNzA5ODo6Ojo&url=%2Fdp%2FB09JZW27F1%2Fref%3Dsspa_dk_detail_0%3Fpsc%3D1%26pd_rd_i%3DB09JZW27F1%26pd_rd_w%3D0zfak%26content-id%3Damzn1.sym.253e17e0-2d18-40b0-a06d-d45df1ec6e48%26pf_rd_p%3D253e17e0-2d18-40b0-a06d-d45df1ec6e48%26pf_rd_r%3D4GPDVS9FQ9P17YF20RKM%26pd_rd_wg%3DBw3Y1%26pd_rd_r%3D364969cc-834e-47e5-bfba-83e78ec7b969%26s%3Ddrugstore%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWwy","1"
"2641","https://www.amazon.de/sspa/click?ie=UTF8&spc=MTo2NDQ2ODc1MTY0MzY1Njc0OjE2OTkyNDkyMTc6c3BfZGV0YWlsMjozMDAwMDQ3ODM5Mjk4MzI6Ojo6&url=%2Fdp%2FB0BYDNPSTT%2Fref%3Dsspa_dk_detail_1%3Fpsc%3D1%26pd_rd_i%3DB0BYDNPSTT%26pd_rd_w%3D0zfak%26content-id%3Damzn1.sym.253e17e0-2d18-40b0-a06d-d45df1ec6e48%26pf_rd_p%3D253e17e0-2d18-40b0-a06d-d45df1ec6e48%26pf_rd_r%3D4GPDVS9FQ9P17YF20RKM%26pd_rd_wg%3DBw3Y1%26pd_rd_r%3D364969cc-834e-47e5-bfba-83e78ec7b969%26s%3Ddrugstore%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWwy","1"
"2642","https://www.amazon.de/sspa/click?ie=UTF8&spc=MTo2NDQ2ODc1MTY0MzY1Njc0OjE2OTkyNDkyMTc6c3BfZGV0YWlsMjozMDAwMzY3NjI1ODE2MzI6Ojo6&url=%2Fdp%2FB0CDP44BNC%2Fref%3Dsspa_dk_detail_2%3Fpsc%3D1%26pd_rd_i%3DB0CDP44BNC%26pd_rd_w%3D0zfak%26content-id%3Damzn1.sym.253e17e0-2d18-40b0-a06d-d45df1ec6e48%26pf_rd_p%3D253e17e0-2d18-40b0-a06d-d45df1ec6e48%26pf_rd_r%3D4GPDVS9FQ9P17YF20RKM%26pd_rd_wg%3DBw3Y1%26pd_rd_r%3D364969cc-834e-47e5-bfba-83e78ec7b969%26s%3Ddrugstore%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWwy","1"
"2643","https://www.amazon.de/sspa/click?ie=UTF8&spc=MTo3NTQxNzg2NDIwNTY4Njc0OjE2OTkyNDkyMTc6c3BfZGV0YWlsOjIwMDIxMzg3MjI3MDk4Ojo6Og&url=%2Fdp%2FB09JZW27F1%2Fref%3Dsspa_dk_detail_0%3Fpsc%3D1%26pd_rd_i%3DB09JZW27F1%26pd_rd_w%3DjlIbN%26content-id%3Damzn1.sym.ae2317a0-2175-4285-af64-66539858231f%26pf_rd_p%3Dae2317a0-2175-4285-af64-66539858231f%26pf_rd_r%3D4GPDVS9FQ9P17YF20RKM%26pd_rd_wg%3DBw3Y1%26pd_rd_r%3D364969cc-834e-47e5-bfba-83e78ec7b969%26s%3Ddrugstore%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWw","1"
"2644","https://www.amazon.de/sspa/click?ie=UTF8&spc=MTo3NTQxNzg2NDIwNTY4Njc0OjE2OTkyNDkyMTc6c3BfZGV0YWlsOjMwMDAzNjc2MjU4MTYzMjo6Ojo&url=%2Fdp%2FB0CDP44BNC%2Fref%3Dsspa_dk_detail_1%3Fpsc%3D1%26pd_rd_i%3DB0CDP44BNC%26pd_rd_w%3DjlIbN%26content-id%3Damzn1.sym.ae2317a0-2175-4285-af64-66539858231f%26pf_rd_p%3Dae2317a0-2175-4285-af64-66539858231f%26pf_rd_r%3D4GPDVS9FQ9P17YF20RKM%26pd_rd_wg%3DBw3Y1%26pd_rd_r%3D364969cc-834e-47e5-bfba-83e78ec7b969%26s%3Ddrugstore%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWw","1"
"2645","https://www.amazon.de/sspa/click?ie=UTF8&spc=MTo3NTQxNzg2NDIwNTY4Njc0OjE2OTkyNDkyMTc6c3BfZGV0YWlsOjIwMDE5ODExMjM1MDAzOjo6Og&url=%2Fdp%2FB015ZSZG5K%2Fref%3Dsspa_dk_detail_2%3Fpsc%3D1%26pd_rd_i%3DB015ZSZG5K%26pd_rd_w%3DjlIbN%26content-id%3Damzn1.sym.ae2317a0-2175-4285-af64-66539858231f%26pf_rd_p%3Dae2317a0-2175-4285-af64-66539858231f%26pf_rd_r%3D4GPDVS9FQ9P17YF20RKM%26pd_rd_wg%3DBw3Y1%26pd_rd_r%3D364969cc-834e-47e5-bfba-83e78ec7b969%26s%3Ddrugstore%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWw","1"
"2646","https://www.amazon.de/GIMA-31254-Neurologischer-Dejerina-Classico/dp/B00F37HPB2/ref=dp-upsell-widget_sccl_4_1/262-4336584-4094515?pd_rd_w=1cFd4&content-id=amzn1.sym.da6a3555-3917-42ee-92a6-9f4fea00ae66&pf_rd_p=da6a3555-3917-42ee-92a6-9f4fea00ae66&pf_rd_r=4GPDVS9FQ9P17YF20RKM&pd_rd_wg=Bw3Y1&pd_rd_r=364969cc-834e-47e5-bfba-83e78ec7b969&pd_rd_i=B00F37HPB2&psc=1","1"
